id,parent_id,name,display,fullname,show_hot,show_new,index,bet_limit,bet_detail,table_name,apiname,status,created,provider_status,mobile_status,img
27,0,SEXY,SEXY,AESexy,1,0,1,0,1,bet_history_awcsexy,awcApi,1,"2020-11-25 13:57:28",1,0,SEXY
28,0,NT,NT,netent,0,0,46,0,1,bet_history_ne,qtApi,1,"2020-11-25 13:57:28",1,0,NT
29,0,ELK,ELK,elkstudio,0,0,50,0,1,bet_history_elk,qtApi,1,"2020-11-25 13:57:28",1,0,ELK
30,0,MV,MV,maverick,0,0,62,0,1,bet_history_mv,qtApi,1,"2020-11-25 13:57:28",1,0,MV
31,0,MG,MG,Microgaming,0,0,57,0,1,bet_history_mg,fgApi,1,"2020-11-25 13:57:28",1,0,MG
32,0,Kiron,Kiron,KIRON,0,0,65,0,1,bet_history_kir,qtApi,1,"2020-11-25 13:57:28",1,0,Kiron
33,0,QS,QS,quickspin,0,0,52,0,1,bet_history_qs,qtApi,1,"2020-11-25 13:57:28",1,0,QS
34,0,RR,RR,RedRake,0,0,58,0,1,bet_history_rr,fgApi,1,"2020-11-25 13:57:28",1,0,RR
35,22,1x2,1x2,1x2gaming,0,0,0,0,0,,,0,"2020-11-25 13:57:28",1,0,1x2
36,22,AUG,AUG,augustgaming,0,0,0,0,0,,,0,"2020-11-25 13:57:28",1,0,AUG
37,22,BBG,BBG,bbgames,0,0,0,0,0,,,0,"2020-11-25 13:57:28",1,0,BBG
38,0,BNG,BNG,booongo,0,0,41,0,1,bet_history_bng,qtApi,1,"2020-11-25 13:57:28",1,0,BNG
39,22,BOG,BOG,,0,0,0,0,0,,,0,"2020-11-25 13:57:28",0,0,BOG
40,0,BPG,BPG,blueprint,0,0,14,0,1,bet_history_bpg,qtApi,1,"2020-11-25 13:57:28",1,0,BPG
41,22,BTV,BTV,,0,0,0,0,0,,,0,"2020-11-25 13:57:28",0,0,BTV
42,22,BVS,BVS,,0,0,0,0,0,,,0,"2020-11-25 13:57:28",0,0,BVS
43,22,CBX,CBX,,0,0,0,0,0,,,0,"2020-11-25 13:57:28",0,0,CBX
44,22,CHI,CHI,,0,0,0,0,0,,,0,"2020-11-25 13:57:28",0,0,CHI
45,22,EVP,EVP,evoplay,0,0,0,0,0,,,0,"2020-11-25 13:57:28",1,0,EVP
46,22,EZU,EZU,,0,0,0,0,0,,,0,"2020-11-25 13:57:28",0,0,EZU
47,22,GAL,GAL,,0,0,0,0,0,,,0,"2020-11-25 13:57:28",0,0,GAL
48,22,GFG,GFG,gamefish,0,0,0,0,0,,,0,"2020-11-25 13:57:28",1,0,GFG
49,22,HAB,HAB,habanero,0,0,0,0,0,,,0,"2020-11-25 13:57:28",1,0,HAB
50,0,HAK,HAK,hacksaw,0,0,17,0,1,bet_history_hak,qtApi,1,"2020-11-25 13:57:28",1,0,HAK
51,0,IDS,IDS,irondog,0,1,16,0,0,bet_history_ids,qtApi,1,"2020-11-25 13:57:28",1,0,IDS
52,22,KGL,KGL,kalamba,0,0,0,0,0,,,0,"2020-11-25 13:57:28",1,0,KGL
54,22,LBG,LBG,,0,0,0,0,0,,,0,"2020-11-25 13:57:28",0,0,LBG
55,22,MOB,MOB,mobilots,0,0,0,0,0,,,0,"2020-11-25 13:57:28",1,0,MOB
56,0,NLC,NLC,nolimitcity,0,0,15,0,0,bet_history_nlc,qtApi,1,"2020-11-25 13:57:28",1,0,NLC
57,22,OMI,OMI,omigaming,0,0,0,0,0,,,0,"2020-11-25 13:57:28",1,0,OMI
58,22,OT,OT,onetouch,0,0,0,0,0,,,0,"2020-11-25 13:57:28",1,0,OT
59,0,PUG,PUG,pushgaming,0,0,19,0,1,bet_history_pug,qtApi,1,"2020-11-25 13:57:28",1,0,PUG
60,22,RED,RED,redtiger,0,0,0,0,0,,,0,"2020-11-25 13:57:28",0,0,RED
61,22,RG,RG,revolvergaming,0,0,0,0,0,,,0,"2020-11-25 13:57:28",1,0,RG
62,22,RTG,RTG,rtgslots,0,0,0,0,0,,,0,"2020-11-25 13:57:28",1,0,RTG
63,22,SM,SM,slotmill,0,0,0,0,0,,,0,"2020-11-25 13:57:28",1,0,SM
64,22,SPR,SPR,splitrockgaming,0,0,0,0,0,,,0,"2020-11-25 13:57:28",1,0,SPR
65,0,TK,TK,thunderkick,0,0,56,0,1,bet_history_tk,qtApi,1,"2020-11-25 13:57:28",1,0,TK
66,22,WOO,WOO,woohoo,0,0,0,0,0,,,0,"2020-11-25 13:57:28",1,0,WOO
